"subregion","region","pop","income","ipaddr","ufo2010"
"custer","oklahoma",28536,43125,15595,2
"custer","south dakota",8339,48125,9002,0
"cuyahoga","ohio",1265111,44088,2352636,50
"miami-dade","florida",2591035,43957,2015718,161
"dade","georgia",16490,41629,9362,2
"dade","missouri",7568,32248,3866,0
"daggett","utah",1090,44750,3960,0
"dakota","minnesota",405088,73723,760420,35
"dakota","nebraska",20918,43294,9651,1
"dale","alabama",50444,45491,46135,2
"dallam","texas",6996,47500,18280,0
"dallas","alabama",42864,26909,8337,0
"dallas","arkansas",7987,30011,4331,0
"dallas","iowa",71967,71691,12387,4
"dallas","missouri",16799,39132,9463,2
"dallas","texas",2453843,48942,9567522,163
"dane","wisconsin",503523,61913,1989112,50
"daniels","montana",1786,37578,2299,1
"dare","north carolina",34573,54750,127,0
"darke","ohio",52507,45055,21073,14
"darlington","south carolina",68139,38567,27751,7
"dauphin","pennsylvania",269665,53771,1049924,24
"davidson","north carolina",163260,44728,93809,7
"davidson","tennessee",648295,46737,1960916,77
"davie","north carolina",41433,50562,25546,3
"daviess","indiana",32064,45231,16448,0
"daviess","kentucky",97847,44763,90383,5
"daviess","missouri",8239,41133,6123,0
"davis","iowa",8689,46651,4229,0
"davis","utah",315809,69147,254795,9
"davison","south dakota",19769,44597,29731,0
"dawes","nebraska",9152,36396,67714,1
"dawson","georgia",22422,51989,16242,7
"dawson","montana",9249,51761,6131,1
"dawson","nebraska",24220,45038,14586,0
"dawson","texas",13640,39454,7533,0
"day","south dakota",5613,40335,890,0
"de baca","new mexico",1927,33714,1533,3
"de kalb","alabama",71080,36853,22958,4
"de kalb","georgia",707089,51712,979623,15
"de kalb","illinois",104704,54436,130690,5
"de kalb","indiana",42321,47099,44821,0
"de kalb","missouri",12940,45252,637,0
"de kalb","tennessee",18901,36870,7018,1
"de soto","florida",34712,36407,12374,3
"de soto","louisiana",26963,39213,6259,1
"de soto","mississippi",166234,59734,89889,8
"de witt","illinois",16434,48750,9948,1
"de witt","texas",20465,43380,14693,0
"deaf smith","texas",19360,41134,6009,1
"dearborn","indiana",49831,57146,25900,0
"decatur","georgia",27509,31391,19182,0
"decatur","indiana",26042,47810,25361,0
"decatur","iowa",8253,34185,10708,2
"decatur","kansas",2871,35887,286,0
"decatur","tennessee",11673,30311,8689,0
"deer lodge","montana",9227,34095,4794,2
"defiance","ohio",38677,46864,25148,5
"del norte","california",28290,37588,8652,6
"delaware","indiana",117364,38730,123005,11
"delaware","iowa",17574,49375,9568,0
"delaware","new york",47276,43554,105866,5
"delaware","ohio",181061,90022,133619,18
"delaware","oklahoma",41441,35552,15774,4
"delaware","pennsylvania",561098,63677,886396,22
"delta","colorado",30432,41856,28723,4
"delta","michigan",36884,42932,22396,2
"delta","texas",5329,34710,636,0
"dent","missouri",15647,36715,3069,3
"denton","texas",707304,72305,711868,55
"denver","colorado",634265,47499,3369302,0
"des moines","iowa",40340,43111,32151,2
"deschutes","oregon",162277,52962,132192,16
"desha","arkansas",12545,30786,3237,0
"deuel","nebraska",1972,37500,127,0
"deuel","south dakota",4380,46186,4208,0
"dewey","oklahoma",4783,41500,2180,0
"dewey","south dakota",5538,30645,7799,0
"dickens","texas",2323,35333,766,2
"dickenson","virginia",15690,30556,6369,0
"dickey","north dakota",5268,41776,11246,0
"dickinson","iowa",16972,52704,20892,2
"dickinson","kansas",19762,49003,6261,1
"dickinson","michigan",26220,43651,25115,3
"dickson","tennessee",50381,44201,16343,3
"dillon","south carolina",31446,26067,8304,2
"dimmit","texas",10461,26730,7199,0
"dinwiddie","virginia",27994,50583,19729,0
"divide","north dakota",2228,47545,255,0
"dixie","florida",16126,34243,18538,0
"dixon","nebraska",5918,44840,2296,0
"doddridge","west virginia",8178,32063,1016,0
"dodge","georgia",21329,33829,7283,1
"dodge","minnesota",20231,66216,13327,0
"dodge","nebraska",36427,44744,22678,2
"dodge","wisconsin",88415,53589,49610,8
"dolores","colorado",1994,44077,1028,2
"dona ana","new mexico",214445,37223,186864,27
"doniphan","kansas",7864,45000,9355,0
"donley","texas",3598,44300,2168,0
"dooly","georgia",14318,30830,5875,0
"door","wisconsin",27817,48680,35380,2
"dorchester","maryland",32551,46683,38795,0
"dorchester","south carolina",142496,54875,71284,13
"dougherty","georgia",94501,32364,80560,2
"douglas","colorado",298215,101193,191697,19
"douglas","georgia",133971,54763,94024,5
"douglas","illinois",19853,47921,18547,2
"douglas","kansas",112864,47063,283027,0
"douglas","minnesota",36415,48436,31298,1
"douglas","missouri",13585,32300,4803,2
"douglas","nebraska",531265,52929,1650238,6
"douglas","nevada",46996,60383,56641,2
"douglas","oregon",107164,40501,82143,15
"douglas","south dakota",2970,45957,1027,0
"douglas","washington",39350,49707,43160,2
"douglas","wisconsin",43785,44140,85696,6
"drew","arkansas",18743,32038,13800,0
"du page","illinois",927987,77598,7360588,108
"dubois","indiana",42071,53997,95245,1
"dubuque","iowa",95097,49663,64584,9
"duchesne","utah",19244,55790,19698,2
"dukes","massachusetts",17041,69760,16546,0
"dundy","nebraska",2021,40278,3193,0
"dunklin","missouri",31826,30806,10873,1
"dunn","north dakota",3967,52861,1162,0
"dunn","wisconsin",44072,48342,84654,0
"duplin","north carolina",60033,34264,85829,6
"durham","north carolina",279641,50078,20189619,19
"dutchess","new york",297322,71125,493706,30
"duval","florida",879602,49964,1380551,72
"duval","texas",11717,35144,637,2
"dyer","tennessee",38255,38909,27653,4
"eagle","colorado",51874,70914,56624,9
"early","georgia",10594,27645,2421,0
"east baton rouge","louisiana",444526,46838,952740,25
"east carroll","louisiana",7526,25267,2821,0
"east feliciana","louisiana",20008,37403,7239,2
"eastland","texas",18421,34531,12146,9
"eaton","michigan",108008,54170,252872,12
"eau claire","wisconsin",100677,46826,296571,7
"echols","georgia",3988,29476,4850,0
"ector","texas",144325,50056,85215,9
"eddy","new mexico",54419,47725,21487,7
"eddy","north dakota",2368,40096,4217,0
"edgar","illinois",18191,42947,15332,0
"edgecombe","north carolina",55954,34198,18921,0
"edgefield","south carolina",26347,44090,8093,0
"edmonson","kentucky",12071,35217,3564,1
"edmunds","south dakota",4026,48039,7,0
"edwards","illinois",6684,39071,4205,0
"edwards","kansas",2979,41406,765,0
"edwards","texas",1968,43095,2042,0
"effingham","georgia",53293,58935,20586,4
"effingham","illinois",34353,50938,19812,1
"el dorado","california",180561,68815,290594,11
"el paso","colorado",644964,57079,1193051,13
"el paso","texas",827398,38259,648203,57
"elbert","colorado",23383,79367,9375,4
"elbert","georgia",19684,32634,16698,0
"elk","kansas",2720,34246,2042,0
"elk","pennsylvania",31550,42854,25016,2
"elkhart","indiana",199619,47308,146847,10
"elko","nevada",51216,69459,55386,14
"elliott","kentucky",7780,25769,1149,1
"ellis","kansas",29053,43713,42390,1
"ellis","oklahoma",4104,45017,437,2
"ellis","texas",153969,62639,182997,15
"ellsworth","kansas",6494,43125,6000,0
"elmore","alabama",80629,54831,67040,5
"elmore","idaho",26223,43691,22347,2
"emanuel","georgia",22898,30427,9939,0
"emery","utah",10933,50800,19689,7
"emmet","iowa",10120,44357,7625,2
"emmet","michigan",32915,50269,20147,1
"emmons","north dakota",3491,36903,1786,2
"erath","texas",39321,40096,29898,12
"erie","new york",919086,48805,1545847,75
"erie","ohio",76398,47466,41156,1
"erie","pennsylvania",280646,44503,242442,22
"escambia","alabama",37994,31638,28660,1
"escambia","florida",302715,43707,165447,2
"esmeralda","nevada",775,29438,0,0
"essex","massachusetts",755618,65785,1245845,59
"essex","new jersey",787744,55876,18577782,25
"essex","new york",38961,46629,28368,5
"essex","vermont",6226,37679,2443,1
"essex","virginia",11233,44581,9332,0
"estill","kentucky",14493,28148,7567,0
"etowah","alabama",104392,37772,66760,9
"eureka","nevada",2001,61908,382,2
"evangeline","louisiana",33710,34848,14221,0
"evans","georgia",10689,38000,5256,1
"fairfax","virginia",1118602,108439,25625820,60
"fairfield","connecticut",933835,82558,36859317,50
"fairfield","ohio",147474,58249,94171,13
"fairfield","south carolina",23363,34117,7654,0
"fall river","south dakota",6971,34948,4622,0
"fallon","montana",3024,49573,1787,0
"falls","texas",17610,31543,11629,0
"fannin","georgia",23492,34554,15023,4
"fannin","texas",33831,44136,14150,4
"faribault","minnesota",14263,43214,27303,1
"faulk","south dakota",2377,40125,1147,0
"faulkner","arkansas",118704,47649,230526,1
"fauquier","virginia",66542,87958,73676,5
"fayette","alabama",16983,33378,7916,1
"fayette","georgia",107524,81498,82864,8
"fayette","illinois",22014,43081,9562,0
"fayette","indiana",24029,35802,9560,0
"fayette","iowa",20793,42108,12451,1
"fayette","kentucky",305489,48306,750333,33
"fayette","ohio",28880,39263,13341,4
"fayette","pennsylvania",135660,36605,61493,5
"fayette","tennessee",38659,57437,14464,1
"fayette","texas",24695,47285,11354,2
"fayette","west virginia",45869,32940,13197,4
"fentress","tennessee",17940,29245,8938,0
"fergus","montana",11435,37601,3966,0
"ferry","washington",7705,35684,3325,4
"fillmore","minnesota",20834,47940,9945,0
"fillmore","nebraska",5771,44031,3313,2
"finney","kansas",37200,51179,19132,5
"fisher","texas",3844,43724,1807,0
"flagler","florida",98359,48708,109471,21
"flathead","montana",91633,45588,69451,12
"fleming","kentucky",14560,31979,3946,0
"florence","south carolina",137948,41325,73077,12
"florence","wisconsin",4482,43000,254,0
"floyd","georgia",96177,43129,55793,11
"floyd","indiana",75283,52803,112320,8
"floyd","iowa",16056,42247,8310,1
"floyd","kentucky",38949,28221,15690,0
"floyd","texas",6367,35967,9446,0
"floyd","virginia",15390,40761,8069,0
"fluvanna","virginia",25967,68615,15429,0
"foard","texas",1307,31006,766,0
"fond du lac","wisconsin",101843,52717,130409,8
"ford","illinois",14008,50332,11245,0
"ford","kansas",34752,49061,55658,0
"forest","pennsylvania",7667,36006,3570,0
"forest","wisconsin",9206,38176,4849,0
"forrest","mississippi",76894,35805,117893,0
"forsyth","georgia",187928,88262,101926,10
"forsyth","north carolina",358137,46417,899048,7
"fort bend","texas",627293,82571,556463,5
"foster","north dakota",3392,47500,5044,0
"fountain","indiana",17119,44802,14851,2
"franklin","alabama",31761,35831,9413,0
"franklin","arkansas",18045,34819,9197,2
"franklin","florida",11686,37017,5481,1
"franklin","georgia",21894,33086,8306,4
"franklin","idaho",12786,46344,6634,0
"franklin","illinois",39407,36383,21810,2
"franklin","indiana",22969,52234,15002,3
"franklin","iowa",10554,46461,10349,0
"franklin","kansas",25906,50231,19311,1
"franklin","kentucky",49804,47062,444513,3
"franklin","louisiana",20561,34105,5092,0
"franklin","maine",30630,40502,17591,1
"franklin","massachusetts",71540,52246,115704,8
"franklin","mississippi",7918,33250,3594,0
"franklin","missouri",101412,50098,66676,3
"franklin","nebraska",3188,40556,891,0
"franklin","new york",51795,43673,22637,0
"franklin","north carolina",61475,44598,21128,5
"franklin","ohio",1195537,50045,223441040,82
"franklin","pennsylvania",151275,51171,108351,1
"franklin","tennessee",40772,41726,77317,4
"franklin","texas",10640,47500,6131,0
"franklin","vermont",48214,55181,14422,0
"franklin","virginia",56411,47606,20960,5
"franklin","washington",85845,50731,48351,4
"frederick","maryland",239582,82668,367516,10
"frederick","virginia",80317,66440,89720,6
"freeborn","minnesota",31054,43447,13418,4
"freestone","texas",19515,45816,5623,5
"fremont","colorado",46788,38979,20688,1
"fremont","idaho",12957,42178,6197,0
"fremont","iowa",7147,49934,2690,0
"fremont","wyoming",41110,48788,90095,6
"fresno","california",947895,46903,553119,100
"frio","texas",17702,37769,12781,0
"frontier","nebraska",2741,47552,12477,1
"fulton","arkansas",12318,33281,4591,1
"fulton","georgia",977773,57582,7597379,25
"fulton","illinois",36651,42963,9235,1
"fulton","indiana",20737,42330,4719,4
"fulton","kentucky",6525,34545,1021,0
"fulton","new york",54925,45289,48229,2
"fulton","ohio",42513,51851,19330,3
"fulton","pennsylvania",14772,45960,6556,0
"furnas","nebraska",4907,38650,510,0
"gadsden","florida",46528,33453,33509,3
"gage","nebraska",21806,45573,13741,3
"gaines","texas",18413,47157,3507,0
"gallatin","illinois",5430,38577,10352,0
"gallatin","kentucky",8479,45400,1304,1
"gallatin","montana",92614,51391,210281,12
"gallia","ohio",30708,36918,10240,0
"galveston","texas",300484,59645,242834,16
"garden","nebraska",1953,35861,766,0
"garfield","colorado",56953,63929,19340,0
"garfield","montana",1261,37500,765,0
"garfield","nebraska",2007,38973,700,0
"garfield","oklahoma",61189,41688,30757,3
"garfield","utah",5095,46029,6769,2
"garfield","washington",2228,47379,1276,0
"garland","arkansas",96903,38210,80060,10
"garrard","kentucky",16913,40137,4585,4
"garrett","maryland",29854,45280,34420,3
"garvin","oklahoma",27297,39171,8552,5
"garza","texas",6412,42883,1657,2
"gasconade","missouri",14972,40788,5438,1
"gaston","north carolina",208049,43052,140323,18
"gates","north carolina",11869,45183,1034,3
"geary","kansas",38013,45649,25281,2
"geauga","ohio",93680,66229,77592,6
"gem","idaho",16673,44442,4730,2
"genesee","michigan",418408,43418,354620,34
"genesee","new york",59977,50861,41082,8
"geneva","alabama",26931,35237,9419,0
"gentry","missouri",6777,36307,2806,0
"george","mississippi",22930,45365,5634,0
"georgetown","south carolina",60189,42677,91525,4
"gibson","indiana",33458,48171,6684,8
"gibson","tennessee",49626,37577,20986,4
"gila","arizona",53144,37905,18097,12
"gilchrist","florida",16815,38467,14657,0
"giles","tennessee",29072,37981,15979,2
"giles","virginia",16928,43012,14563,0
"gillespie","texas",25153,54843,16231,0
"gilliam","oregon",1953,42260,3222,0
"gilmer","georgia",28190,37091,20667,0
"gilmer","west virginia",8732,33309,2822,0
"gilpin","colorado",5491,59394,4227,0
"glacier","montana",13711,40109,3960,2
"glades","florida",13107,39611,6792,2
"gladwin","michigan",25484,38160,19554,2
"glascock","georgia",3142,36275,3836,0
"glasscock","texas",1259,72188,2808,0
"glenn","california",27992,43239,6147,0
"gloucester","new jersey",289586,74830,206579,7
"gloucester","virginia",36886,62067,41423,1
"glynn","georgia",81022,49828,30945,0
"gogebic","michigan",16084,34917,77280,4
"golden valley","montana",839,36250,382,0
"golden valley","north dakota",1804,35402,1529,0
"goliad","texas",7351,51389,382,0
"gonzales","texas",20045,38623,10133,1
"goochland","virginia",21347,81288,30252,0
"goodhue","minnesota",46336,56099,34228,4
"gooding","idaho",15291,40854,1593,4
"gordon","georgia",55766,41336,26711,5
"goshen","wyoming",13636,42126,11395,1
"gosper","nebraska",2029,42875,3187,0
"gove","kansas",2729,41853,381,0
"grady","georgia",25440,32091,7318,0
"grady","oklahoma",53118,47456,20765,5
"grafton","new hampshire",89181,53000,237453,17
"graham","arizona",37416,43083,27279,7
"graham","kansas",2578,41008,1276,0
"graham","north carolina",8700,32255,2841,0
"grainger","tennessee",22706,31711,9306,2
"grand","colorado",14195,64281,15110,4
"grand","utah",9328,42004,0,0
"grand forks","north dakota",67472,46050,44626,5
"grand isle","vermont",6983,59566,1310,1
"grand traverse","michigan",89112,50629,99845,9
"granite","montana",3109,38179,424,0
"grant","arkansas",17986,50927,11115,0
"grant","indiana",69330,39377,74308,14
"grant","kansas",7923,59127,15218,0
"grant","kentucky",24485,43755,6972,3
"grant","louisiana",22068,39988,4465,0
"grant","minnesota",5944,43777,4882,0
"grant","nebraska",629,39531,254,0
"grant","new mexico",29388,36925,9134,2
"grant","north dakota",2333,41821,762,0
"grant","oklahoma",4516,42227,1125,0
"grant","oregon",7317,34367,4353,0
"grant","south dakota",7259,44444,3191,0
"grant","washington",91723,44237,73601,11
"grant","west virginia",11816,40008,7648,1
"grant","wisconsin",51087,45022,86697,4
"granville","north carolina",60436,49090,24977,2
"gratiot","michigan",42063,39867,27774,1
"graves","kentucky",37544,35514,32381,1
"gray","kansas",6030,55559,3956,1
"gray","texas",22978,42845,16861,2
"grays harbor","washington",71692,42729,16291,0
"grayson","kentucky",25964,32919,14662,1
"grayson","texas",121935,46993,82722,13
"grayson","virginia",15183,31599,10564,1
"greeley","kansas",1298,58971,892,0
"greeley","nebraska",2458,42396,892,1
"green","kentucky",11315,35313,5481,1
"green","wisconsin",36909,53933,21712,3
"green lake","wisconsin",19039,48937,7270,6
"greenbrier","west virginia",35820,35180,13009,2
"greene","alabama",8876,23004,1880,0
"greene","arkansas",43163,39090,22923,2
"greene","georgia",16092,38209,9938,1
"greene","illinois",13576,42193,4967,1
"greene","indiana",32940,43869,10364,0
"greene","iowa",9153,44981,5750,0
"greene","mississippi",14311,40404,1145,0
"greene","missouri",280626,41622,309679,40
"greene","new york",48673,47033,30956,16
"greene","north carolina",21429,41073,10726,0
"greene","ohio",163587,57553,376834,17
"greene","pennsylvania",38085,42565,22995,4
"greene","tennessee",68819,36310,38106,12
"greene","virginia",18771,58550,6776,1
"greenlee","arizona",8802,49390,3741,0
"greensville","virginia",11851,42000,17486,0
"greenup","kentucky",36707,41902,13116,5
"greenville","south carolina",467605,48518,1179393,29
"greenwood","kansas",6454,37543,3765,3
"greenwood","south carolina",69756,39366,27358,2
"greer","oklahoma",6082,38882,382,0
"gregg","texas",122658,44608,81006,6
"gregory","south dakota",4265,35975,2296,1
"grenada","mississippi",21682,33123,18806,0
"griggs","north dakota",2362,43000,636,0
"grimes","texas",26783,40509,7528,0
"grundy","illinois",50281,64592,21114,4
"grundy","iowa",12448,55848,8822,0
"grundy","missouri",10338,36590,6618,2
"grundy","tennessee",13650,25890,8682,1
"guadalupe","new mexico",4603,26152,1533,0
"guadalupe","texas",139841,61608,96314,5
"guernsey","ohio",39817,38179,15210,2
"guilford","north carolina",500879,46288,916116,42
"gulf","florida",15718,41291,11620,2
"gunnison","colorado",15475,50073,13943,1
"guthrie","iowa",10777,50000,8290,1
"gwinnett","georgia",842046,63076,4553101,42
"haakon","south dakota",1939,49432,509,0
"habersham","georgia",43520,41222,14204,4
"hale","alabama",15388,29236,2672,0
"hale","texas",36385,39335,8861,1
"halifax","north carolina",54006,31370,17770,2
"halifax","virginia",35849,34889,12854,2
"hall","georgia",185416,52050,147269,14
"hall","nebraska",60345,47469,22924,6
"hall","texas",3293,32059,1276,3
"hamblen","tennessee",62746,39604,38541,8
"hamilton","florida",14708,36683,1908,1
"hamilton","illinois",8370,39000,2420,0
"hamilton","indiana",289495,84449,395328,35
"hamilton","iowa",15344,46603,3760,4
"hamilton","kansas",2639,41351,1277,0
"hamilton","nebraska",9011,54980,9191,0
"hamilton","new york",4778,51142,7267,0
"hamilton","ohio",802038,49218,5784889,1
"hamilton","tennessee",345545,45826,549616,24
"hamilton","texas",8307,40757,5486,2
"hamlin","south dakota",5918,47771,3573,0
"hampden","massachusetts",465923,48866,445940,17
"hampshire","massachusetts",159795,60331,379375,8
"hampshire","west virginia",23709,29001,12106,5
"hampton","south carolina",20726,35914,3483,1
"hampton","virginia",136836,51083,168730,0
"hancock","georgia",8996,24483,14841,0
"hancock","illinois",18891,43567,11997,2
"hancock","indiana",70933,62184,39100,1
"hancock","iowa",11134,48996,7400,0
"hancock","kentucky",8677,47895,2904,0
"hancock","maine",54558,47421,25351,3
"hancock","mississippi",45255,42591,47486,0
"hancock","ohio",75671,49888,55989,8
"hancock","tennessee",6720,22052,1914,0
"hancock","west virginia",30305,38369,16146,5
"hand","south dakota",3388,44375,1149,0
"hanover","virginia",100668,77506,101836,5
"hansford","texas",5521,52610,5364,0
"hanson","south dakota",3377,47700,388,0
"haralson","georgia",28400,38664,19741,2
"hardee","florida",27514,38046,13541,2
"hardeman","tennessee",26533,32601,7938,1
"hardeman","texas",4082,36568,2612,1
"hardin","illinois",4258,30875,1243,0
"hardin","iowa",17302,46930,11905,1
"hardin","kentucky",107025,48743,99827,5
"hardin","ohio",31627,39945,79322,1
"hardin","tennessee",25950,32131,16146,5
"hardin","texas",55190,54588,27322,9
"harding","new mexico",707,30208,1789,0
"harding","south dakota",1316,46797,255,0
"hardy","west virginia",13866,33060,9315,0
"harford","maryland",248622,79953,253314,26
"harlan","kentucky",28543,26914,16430,0
"harlan","nebraska",3410,45396,1526,0
"harmon","oklahoma",2906,31211,254,1
"harnett","north carolina",122135,42965,247070,8
"harney","oregon",7212,38702,729,2
"harper","kansas",5911,42021,3308,2
"harper","oklahoma",3676,44850,1531,0
"harris","georgia",32550,67299,45253,4
"harris","texas",4253700,52675,27583956,227
"harrison","indiana",39134,52263,12414,7
"harrison","iowa",14548,53750,7402,2
"harrison","kentucky",18624,38690,12945,0
"harrison","mississippi",194029,44550,134951,0
"harrison","missouri",8728,35915,4994,0
"harrison","ohio",15714,36920,9255,5
"harrison","texas",67450,45357,77729,5
"harrison","west virginia",69141,40556,149845,6
"hart","georgia",25518,35685,19804,3
"hart","kentucky",18366,31858,8162,0
"hartford","connecticut",897259,64007,2196830,57
"hartley","texas",6144,69414,1021,0
"harvey","kansas",34852,48880,27746,2
"haskell","kansas",4256,49760,2415,0
"haskell","oklahoma",12938,37326,3571,0
"haskell","texas",5901,39578,5621,0
"hawkins","tennessee",56587,36795,14504,4
"hayes","nebraska",953,45536,510,0
"hays","texas",168990,58247,212350,18
"haywood","north carolina",58908,41768,43952,0
"haywood","tennessee",18240,33504,12277,1
"heard","georgia",11633,39167,5749,1
"hemphill","texas",4080,54360,4664,2
"hempstead","arkansas",22373,34885,9593,3
"henderson","illinois",7043,47944,3956,0
"henderson","kentucky",46513,41473,24632,5
"henderson","north carolina",108266,47371,61714,13
"henderson","tennessee",28023,37627,7399,2
"henderson","texas",79094,41242,44725,5
"hendricks","indiana",150434,68192,107771,5
"hendry","florida",37447,37989,8426,0
"hennepin","minnesota",1184576,62966,5514390,76
"henrico","virginia",314932,61206,1847077,51
"henry","alabama",17287,39948,10325,2
"henry","georgia",209053,64251,201387,17
"henry","illinois",50155,50698,33145,5
"henry","indiana",49345,40519,19463,1
"henry","iowa",20236,43510,17643,0
"henry","kentucky",15318,42506,2913,0
"henry","missouri",22153,36944,8718,11
"henry","ohio",28045,48932,21910,0
"henry","tennessee",32341,36463,20979,3
"henry","virginia",52969,33695,38591,0
"herkimer","new york",64508,42680,259057,8
"hernando","florida",173422,42700,145721,7
"hertford","north carolina",24438,31969,75456,0
"hettinger","north dakota",2553,41179,254,0
"hickman","kentucky",4754,37535,780,0
"hickman","tennessee",24170,43935,8442,1
"hickory","missouri",9391,28850,5367,6
"hidalgo","new mexico",4794,35532,1528,1
"hidalgo","texas",806552,32479,575124,9
"highland","ohio",42998,40423,19412,1
"highland","virginia",2245,43045,3706,0
"highlands","florida",98128,34913,49882,14
"hill","montana",16366,46724,16985,11
"hill","texas",35115,39944,19663,2
"hillsborough","florida",1277746,50195,1524995,107
"hillsborough","new hampshire",402922,70591,787843,29
"hillsdale","michigan",46229,43139,33142,6
"hinds","mississippi",248643,39290,345111,11
"hinsdale","colorado",810,77321,269,0
"hitchcock","nebraska",2887,36920,4725,0
"hocking","ohio",29273,42227,18495,1
"hockley","texas",23072,48201,23610,1
"hodgeman","kansas",1963,44176,1147,1
"hoke","north carolina",50536,46540,26978,5
"holmes","florida",19804,33510,6822,3
"holmes","mississippi",18796,22259,3355,1
"holmes","ohio",43025,44746,34872,1
"holt","missouri",4655,41737,2294,0
"holt","nebraska",10396,46292,7057,1
"hood","texas",52044,54002,41645,4
"hood river","oregon",22584,54109,23811,4
"hooker","nebraska",727,39125,0,0
"hopkins","kentucky",46718,39187,47037,7
"hopkins","texas",35469,42844,9667,0
"horry","south carolina",282285,42877,202040,84
"hot spring","arkansas",33394,38188,25580,0
"hot springs","wyoming",4822,43063,3575,0
"houghton","michigan",36520,34625,90151,2
"houston","alabama",103402,41766,64957,9
"houston","georgia",146136,55738,110876,10
"houston","minnesota",18837,53017,11630,1
"houston","tennessee",8413,34942,5715,2
"houston","texas",23161,32437,6625,1
"howard","arkansas",13735,37146,1660,3
"howard","indiana",82849,45022,122735,31
"howard","iowa",9563,45682,5641,0
"howard","maryland",299430,105692,418673,14
"howard","missouri",10169,46991,4186,1
"howard","nebraska",6336,46358,1273,0
"howard","texas",35408,41887,21343,3
"howell","missouri",40629,35625,16911,0
"hubbard","minnesota",20347,45733,9296,1
"hudson","new jersey",652302,57660,1436811,7
"hudspeth","texas",3337,22634,11131,1
"huerfano","colorado",6596,29737,938,4
"hughes","oklahoma",13836,33895,3965,1
"hughes","south dakota",17450,58082,54,0
"humboldt","california",134827,40376,139897,39
"humboldt","iowa",9729,48075,5497,0
"humboldt","nevada",17048,54943,8706,0
"humphreys","mississippi",9189,25730,11371,1
"humphreys","tennessee",18275,41810,6723,3
"hunt","texas",87079,45253,54815,4
"hunterdon","new jersey",127050,103879,187484,21
"huntingdon","pennsylvania",45943,43026,65122,3
"huntington","indiana",36987,47137,11949,0
"huron","michigan",32463,40200,17014,5
"huron","ohio",59280,48358,37905,0
"hutchinson","south dakota",7187,42386,2811,0
"hutchinson","texas",21922,44120,9764,3
"hyde","north carolina",5859,40753,10997,0
"hyde","south dakota",1437,43906,2042,1
"iberia","louisiana",73999,42989,45430,4
"iberville","louisiana",33228,43195,19438,0
"ida","iowa",7108,43918,4082,2
"idaho","idaho",16308,36706,13280,6
"imperial","california",176948,39402,118326,13
"independence","arkansas",37025,34878,14312,7
"indian river","florida",140567,46363,90601,15
"indiana","pennsylvania",88218,41424,101611,10
"ingham","michigan",281723,45758,1372594,32
"inyo","california",18495,49571,4701,10
"ionia","michigan",63941,46958,41093,3
"iosco","michigan",25357,36445,13673,2
"iowa","iowa",16189,57476,20189,0
"iowa","wisconsin",23807,55625,10333,1
"iredell","north carolina",162708,51139,204639,17
"irion","texas",1573,45250,637,0
"iron","michigan",11587,35390,8302,0
"iron","missouri",10374,32029,945,5
"iron","utah",46750,42226,105972,4
"iron","wisconsin",5934,37413,763,1
"iroquois","illinois",29240,48248,23972,4
"irwin","georgia",9600,40379,3948,2
"isabella","michigan",70617,36815,182814,5
"isanti","minnesota",38248,58721,29256,5
"island","washington",79177,59328,95136,7
"isle of wight","virginia",35399,64925,25451,3
"issaquena","mississippi",1386,22396,0,0
"itasca","minnesota",45221,47106,26053,6
"itawamba","mississippi",23340,37769,7984,0
"izard","arkansas",13474,31865,12523,1
"jack","texas",8983,46136,3442,1
"jackson","alabama",53019,36383,18571,4
"jackson","arkansas",17600,31352,6261,0
"jackson","colorado",1348,48571,262,0
"jackson","florida",48968,39869,37045,2
"jackson","georgia",60571,52883,65495,6
"jackson","illinois",60071,32896,135149,1
"jackson","indiana",43083,45666,29866,0
"jackson","iowa",19712,45042,14957,2
"jackson","kansas",13449,54440,12124,2
"jackson","kentucky",13331,21448,9183,0
"jackson","louisiana",16216,39809,7024,1
"jackson","michigan",160309,47169,131980,22
"jackson","minnesota",10281,47455,10420,0
"jackson","mississippi",140298,49620,67093,2
"jackson","missouri",677377,46874,1854150,94
"jackson","north carolina",40448,36826,87456,4
"jackson","ohio",32954,37243,18200,4
"jackson","oklahoma",26237,41391,12412,2
"jackson","oregon",206412,43386,186611,43
"jackson","south dakota",3191,38581,127,0
"jackson","tennessee",11441,32846,5372,0
"jackson","texas",14255,50010,6526,0
"jackson","west virginia",29234,43191,13529,4
"jackson","wisconsin",20485,44106,11914,1
"james city","virginia",68967,75938,123815,13
"jasper","georgia",13630,44404,6825,4
"jasper","illinois",9614,47731,3181,1
"jasper","indiana",33456,55509,91279,4
"jasper","iowa",36602,48881,23858,0
"jasper","mississippi",16523,28914,6462,1
"jasper","missouri",115258,39522,69663,2
"jasper","south carolina",25833,36696,4364,0
"jasper","texas",35923,40099,22863,1
"jay","indiana",21366,40144,6758,0
"jeff davis","georgia",15156,35336,4983,0
"jeff davis","texas",2307,49149,2934,5
"jefferson","alabama",660009,45750,1185426,40
"jefferson","arkansas",74723,37682,111250,2
"jefferson","colorado",545358,67827,975920,18
"jefferson","florida",14256,42096,5877,0
"jefferson","georgia",16432,29178,10180,0
"jefferson","idaho",26684,52799,7147,1
